Date,Time,Position Name,Position Type,Company Name,Status,Location,Action Period,CV_CL_RL_CR
09.07.2025,23:55,Logistic Data Analyst,Data Analysis,Company 136,Not selected,Berlin,27.0,1000.0
10.07.2025,19:25,Intern GenAI Specialist,Data Science,Company 143,Not selected,Munich,13.0,1011.0
10.07.2025,19:45,Software Developer,Developer,Company 144,Not selected,Berlin,34.0,1010.0
12.07.2025,8:45,Graduate Technical Business Analyst,Developer,Company 145,Waiting,Berlin,,1111.0
12.07.2025,9:00,IT Specialist,Developer,Company 146,Not selected,Berlin,10.0,1000.0
13.07.2025,13:25,Analytics Engineer,Data Analysis,Company 147,Not selected,Berlin,3.0,1100.0
13.07.2025,13:40,Product Data Analysis,Data Analysis,Company 148,Not selected,Munich,4.0,1100.0
13.07.2025,20:35,Data Enthu­siast,Data Science,Company 18,Waiting,Stuttgart,,1011.0
13.07.2025,21:20,Applied AI Engineer,Data Engineer,Company 149,Not selected,Berlin,1.0,1000.0
14.07.2025,13:40,Applied NLP Engineer,Machine Learning,Company 150,Waiting,Berlin,,1000.0
14.07.2025,14:20,Data Scientist,Data Science,Company 151,Not selected,Berlin,42.0,1010.0
15.07.2025,13:00,Data Scientist,Data Science,Company 152,Waiting,Berlin,,1100.0
15.07.2025,18:30,Product Scientist/ Data Analysis,Data Analysis,Company 153,Not selected,Berlin,7.0,1000.0
15.07.2025,23:55,Data Scientist - Power Trading,Data Science,Company 154,Not selected,Berlin,30.0,1000.0
16.07.2025,14:20,"Data Scientist - Logistics Service, AI Autopilot)",Data Science,Company 4,Not selected,Berlin,14.0,1100.0
17.07.2025,10:45,Data Analyst - Client Experience,Data Analysis,Company 155,Not selected,Berlin,4.0,1111.0
17.07.2025,14:45,Performance Analyst,Data Analysis,Company 52,Not selected,Berlin,4.0,1100.0
19.07.2025,9:15,Junior Devops Engineer,Data Engineer,Company 106,Not selected,Berlin,6.0,1000.0
21.07.2025,21:25,Data Scientist,Data Science,Company 156,Waiting,Berlin,,1111.0
22.07.2025,20:13,Junior Marketing Automation & AI Specialist ,Data Science,Company 157,Not selected,Berlin,16.0,1011.0
22.07.2025,22:10,Data Engineer / Data Science,Data Science,Company 158,Waiting,Berlin,,1111.0
